split,instance_id,sub_string
test,astropy__astropy-8747,"Support new clip ufunc
Starting with numpy 1.17, `np.clip` will be based on a `ufunc`, which means w"
test,astropy__astropy-8872,"float16 quantities get upgraded to float64 automatically
When trying to create a `Quantity` from a `"
test,django__django-10087,"Misleading sqlmigrate ""App 'apps.somethings' does not have migrations."" error message
Description
	
"
test,django__django-10097,"Make URLValidator reject invalid characters in the username and password
Description
	 
		(last modi"
test,django__django-10213,"Add an option to django-admin to always colorize output
Description
	
With Django management command"
test,django__django-10287,"Add validation of related fields and lookups in model Meta.ordering
Description
	
When the ordering "
test,django__django-10301,"SQLite functions crashes on NULL values
Description
	
In [14]: TestModel2.objects.annotate(null=mode"
test,django__django-10316,"diffsettings raises misleading exception message if using settings.configure()
Description
	
If, rat"
test,django__django-10390,"Trunc() should allow passing is_dst resolution to avoid NonExistentTimeError/AmbiguousTimeError
Desc"
test,django__django-10426,"Add app_label validation to showmigrations
Description
	
#29469
#29518
#29506
The app label validati"
test,django__django-10531,"Models history doesn't use verbose names
Description
	
The history for a model object (within the ad"
test,django__django-10554,"Union queryset with ordering breaks on ordering with derived querysets
Description
	 
		(last modifi"
test,django__django-10606,"Using RelatedOnlyFieldListFilter with reverse ManyToMany crashes
Description
	 
		(last modified by "
test,django__django-10643,"Allow icontains lookup to accept uuids with or without dashes
Description
	
We have Django 2.1 proje"
test,django__django-10680,"Refactor AutoField logic into a mixin, implement checks and validators.
Description
	
Currently Auto"
test,django__django-10730,"Infinite loop in ExceptionReporter.get_traceback_frames()
Description
	
The following code generates"
test,django__django-10737,"Raised FieldError's should include the field that caused the error
Description
	
Currently there are"
test,django__django-10853,"SQLite (pre 3.25.0) does not support window functions, raises OperationalError
Description
	
Window "
test,django__django-10880,"Query syntax error with condition and distinct combination
Description
	
A Count annotation containi"
test,django__django-10904,"Replace use of OSError aliases with OSError (IOError, EnvironmentError, WindowsError, mmap.error, so"
test,django__django-10910,Using database functions with tzinfo=datetime.timezone(datetime.timedelta(...)) results in an incorr
test,django__django-10914,"Set default FILE_UPLOAD_PERMISSION to 0o644.
Description
	
Hello,
As far as I can see, the ​File Upl"
test,django__django-10924,"Allow FilePathField path to accept a callable.
Description
	
I have a special case where I want to c"
test,django__django-10939,"ModelAdmin with custom widgets, inlines, and filter_horizontal can merge media in broken order
Descr"
test,django__django-10957,"Deprecate ugettext(), ugettext_lazy(), ugettext_noop(), ungettext(), and ungettext_lazy()
Descriptio"
test,django__django-10973,"Use subprocess.run and PGPASSWORD for client in postgres backend
Description
	
​subprocess.run was a"
test,django__django-10989,"Ellipses in output strings cause crashes on Windows
Description
	 
		(last modified by Dan Davis)
	 "
test,django__django-10997,"Show applied datetime in showmigrations
Description
	 
		(last modified by Timothy Schilling)
	 
My "
test,django__django-10999,"Fix parse_duration() for some negative durations
Description
	
The ​https://docs.djangoproject.com/e"
test,django__django-11001,"Incorrect removal of order_by clause created as multiline RawSQL
Description
	
Hi.
The SQLCompiler i"
test,django__django-11003,Initialising disabled ModelChoiceField yields 'Select a valid choice'-error despite initialised opti
test,django__django-11011,"Make FileResponse always set Content-Disposition header.
Description
	 
		(last modified by Piotr Ku"
test,django__django-11019,"Merging 3 or more media objects can throw unnecessary MediaOrderConflictWarnings
Description
	
Consi"
test,django__django-11030,"Subquery expressions unnecessarily added to group by
Description
	
Hi friends,
My Django/SQL skills "
test,django__django-11034,"Disabled field in admin use hard coded label_suffix
Description
	
In the class helpers.AdminReadonly"
test,django__django-11039,sqlmigrate wraps it's outpout in BEGIN/COMMIT even if the database doesn't support transactional DDL
test,django__django-11044,"Make Form data/files initialize with an empty MultiValueDict rather than dict
Description
	
You migh"
test,django__django-11049,"Correct expected format in invalid DurationField error message
Description
	
If you enter a duration"
test,django__django-11053,"Disallow non-uppercase settings in settings.configure()
Description
	
Contradictory to the documenta"
test,django__django-11057,"admin check for AuthenticationMiddleware should allow subclasses
Description
	
I am attempting an up"
test,django__django-11062,Using an annotated field calculated with django.db.models.functions.Extract in aggregate results in 
test,django__django-11066,"RenameContentType._rename() doesn't save the content type on the correct database
Description
	
The "
test,django__django-11070,"Add autocomplete attribute to contrib.auth fields
Description
	 
		(last modified by CHI Cheng)
	 
A"
test,django__django-11085,"Custom model metaclasses cannot access the attribute dict in __init__
Description
	
In Django <=2.2,"
test,django__django-11087,"Optimize .delete() to use only required fields.
Description
	
Hi!
We're in the process of upgrading "
test,django__django-11088,"default='' (non-bytestring) on BinaryField crashes some migration operations
Description
	 
		(last "
test,django__django-11095,"add ModelAdmin.get_inlines() hook to allow set inlines based on the request or model instance.
Descr"
test,django__django-11096,"Support the use of admin_order_field on properties in the admin.
Description
	
The ModelAdmin class "
test,django__django-11099,"UsernameValidator allows trailing newline in usernames
Description
	
ASCIIUsernameValidator and Unic"
test,django__django-11115,"Make it easier to track down the offending models for AlreadyRegistered exceptions
Description
	
I'v"
test,django__django-11119,"Engine.render_to_string() should honor the autoescape attribute
Description
	
In Engine.render_to_st"
test,django__django-11129,"Incorrect error message with QuerySet.update() that requires a join on an annotated F expression
Des"
test,django__django-11133,"HttpResponse doesn't handle memoryview objects
Description
	
I am trying to write a BinaryField retr"
test,django__django-11138,"TIME_ZONE value in DATABASES settings is not used when making dates timezone-aware on MySQL, SQLite,"
test,django__django-11141,"Allow migrations directories without __init__.py files
Description
	 
		(last modified by Tim Graham"
test,django__django-11149,Admin inlines for auto-created ManyToManyFields are editable if the user only has the view permissio
test,django__django-11155,"Support setting Secure, HttpOnly, SameSite on the language cookie
Description
	
I propose to add the"
test,django__django-11163,"model_to_dict() should return an empty dict for an empty list of fields.
Description
	
Been called a"
test,django__django-11165,"New HTTPRequest.headers not usable in templates because of hyphens
Description
	
With the release of"
test,django__django-11166,"Admin app has too hard a dependency on sessions app
Description
	
Since #29695 (371ece2f0682e51f2f79"
test,django__django-11169,"Add new system check message when custom error handler 'path.to.view' cannot be imported
Description"
test,django__django-11170,"UnicodeDecodeError when loading debug templates.
Description
	
While studying Django, I had an error"
test,django__django-11177,"Django 2.2 autoreloader is failing intermittently (not using watchman)
Description
	
Since upgrading"
test,django__django-11179,"delete() on instances of models without any dependencies doesn't clear PKs.
Description
	
Deleting a"
test,django__django-11185,"Model.delete(keep_parents=True) does not preserve all parent reverse relationships
Description
	 
		"
test,django__django-11194,"Allow specifying a Feed language different from settings.LANGUAGE_CODE
Description
	
RSS views.py us"
test,django__django-11205,"Inefficient SQL generated when counting a ManyToMany
Description
	
When calling count() on an unfilt"
test,django__django-11206,"utils.numberformat.format renders small decimals in exponential notation.
Description
	
When using u"
test,django__django-11211,"Prefetch related is not working when used GFK for model that uses UUID field as PK.
Description
	
Ho"
test,django__django-11214,"Migration re-add check constraint continuously when check condition contains a range object.
Descrip"
test,django__django-11216,"Prevent ManifestStaticFilesStorage from leaving behind intermediate files
Description
	
Currently wh"
test,django__django-11234,"Prefetch related is not working when used GFK for model that uses FK as PK.
Description
	
Steps to r"
test,django__django-11239,"Add support for postgresql client certificates and key to dbshell.
Description
	
This bug is very si"
test,django__django-11244,"Remove the LANGUAGES_BIDI<=LANGUAGES check.
Description
	
(Adding Nick Pope to Cc: as author of the "
test,django__django-11260,"inspectdb generates unique ForeignKey instead of OneToOneField.
Description
	 
		(last modified by M"
test,django__django-11265,"Using exclude on annotated FilteredRelation doesn't work
Description
	
It looks like using exclude o"
test,django__django-11270,"Add validation of target argument in startapp command.
Description
	
When someone calls startapp com"
test,django__django-11276,"Use Python stdlib html.escape() to in django.utils.html.escape()
Description
	
The function django.u"
test,django__django-11278,"Add a system check for uniqueness of partial indexes and constraints names.
Description
	 
		(last m"
test,django__django-11279,"Allow app_label and class to be specified in the name argument for indexes and constraints.
Descript"
test,django__django-11281,"Improve typography of user facing strings.
Description
	
Inspired by comment: https://code.djangopro"
test,django__django-11283,"Migration auth.0011_update_proxy_permissions fails for models recreated as a proxy.
Description
	 
	"
test,django__django-11292,"Add --skip-checks option to management commands.
Description
	
Management commands already have skip"
test,django__django-11294,"Pluralize filter sometimes returns singular form instead of an empty string for invalid inputs
Descr"
test,django__django-11298,"Allow ManyToManyField using a intermediary table to be defined as symmetrical.
Description
	
Thanks "
test,django__django-11299,"CheckConstraint with OR operator generates incorrect SQL on SQLite and Oracle.
Description
	 
		(las"
test,django__django-11323,"Required SelectDateWidget renders invalid HTML
Description
	
SelectDateWidget in required field rend"
test,django__django-11333,Optimization: Multiple URLResolvers may be unintentionally be constructed by calls to `django.urls.r
test,django__django-11334,Django's template library tags cant use already decorated things like lru_cache because of getfullar
test,django__django-11354,"QuerySet.count() does not with work raw sql annotations on inherited model fields
Description
	
Cons"
test,django__django-11356,"on_delete attribute must be callable.
Description
	
If you set on_delete=None as a ForeignKey field "
test,django__django-11359,"Automatically resolve Value's output_field for stdlib types.
Description
	
Hi,
I have a model of AMo"
test,django__django-11374,"Unexpected behavior for django.utils.http.urlencode
Description
	
The function django.utils.http.url"
test,django__django-11377,"Deprecation message crashes when using a query expression in Model.ordering.
Description
	
Since upd"
test,django__django-11383,"Saving parent object after setting on child leads to unexpected data loss
Description
	 
		(last mod"
test,django__django-11389,"Allow SessionStore's to be easily overridden to make dynamic the session cookie age
Description
	
If"
test,django__django-11396,"Cannot order query by constant value on PostgreSQL
Description
	 
		(last modified by Sven R. Kunze)"
test,django__django-11399,"lazy() class preparation is not being cached correctly.
Description
	
Doing self.__prepared = True c"
test,django__django-11400,"Ordering problem in admin.RelatedFieldListFilter and admin.RelatedOnlyFieldListFilter
Description
	
"
test,django__django-11405,"Queryset ordering and Meta.ordering are mutable on expressions with reverse().
Description
	
Queryse"
test,django__django-11417,"Update mail backend to use modern standard library parsing approach.
Description
	
 django.core.mail"
test,django__django-11422,"Autoreloader with StatReloader doesn't track changes in manage.py.
Description
	 
		(last modified b"
test,django__django-11423,"GenericRelation and prefetch_related: wrong caching with cyclic prefetching.
Description
	
Hello @al"
test,django__django-11428,"Autoreloader crashes on re-raising exceptions with custom signature.
Description
	 
		(last modified"
test,django__django-11433,"Allow `cleaned_data` to overwrite fields' default values.
Description
	
See comments here: ​https://"
test,django__django-11446,"Default error webpages are not correctly-formed html pages.
Description
	
The default page served fo"
test,django__django-11451,"ModelBackend.authenticate() shouldn't make a database query when username is None
Description
	
It's"
test,django__django-11457,"Improve exceptions about mixed types in Expressions.
Description
	
The ​source which raises the exce"
test,django__django-11477,"translate_url() creates an incorrect URL when optional named groups are missing in the URL pattern
D"
test,django__django-11490,"Composed queries cannot change the list of columns with values()/values_list().
Description
	
Compos"
test,django__django-11501,"Make createsuperuser inspect environment variables for username and password
Description
	
The creat"
test,django__django-11514,"Add Cache-Control: private to never_cache decorator.
Description
	
If a Django user wants to ensure "
test,django__django-11517,"call_command raises ValueError when subparser dest is passed in options.
Description
	
If a manageme"
test,django__django-11525,"Raise exceptions in mail_admins()/mail_managers() when settings are not in expected formats.
Descrip"
test,django__django-11527,"sqlsequencereset should inform that no sequences found.
Description
	
This just came up on IRC, beca"
test,django__django-11532,"Email messages crash on non-ASCII domain when email encoding is non-unicode.
Description
	
When the "
test,django__django-11539,"Move index name checks from Index.__init__ into system checks.
Description
	 
		(last modified by Ma"
test,django__django-11543,"runserver fails to close connection if --nothreading specified.
Description
	 
		(last modified by C"
test,django__django-11550,order_by() on union() querysets results with wrong ordering when the same field type is presented mu
test,django__django-11551,"admin.E108 is raised on fields accessible only via instance.
Description
	 
		(last modified by ajcs"
test,django__django-11555,"order_by() a parent model crash when Meta.ordering contains expressions.
Description
	 
		(last modi"
test,django__django-11559,"order_by() a parent model crash when Meta.ordering contains expressions.
Description
	 
		(last modi"
test,django__django-11560,"Raise ValueError in Extract lookups that don't work properly with DurationField.
Description
	
Looku"
test,django__django-11564,"Add support for SCRIPT_NAME in STATIC_URL and MEDIA_URL
Description
	 
		(last modified by Rostyslav"
test,django__django-11583,"Auto-reloading with StatReloader very intermittently throws ""ValueError: embedded null byte"".
Descri"
test,django__django-11584,"[FATAL] FileNotFoundError with runserver command inside Docker container
Description
	
Summary
Tryin"
test,django__django-11591,"Raise a descriptive error on unsupported operations following QuerySet.union(), intersection(), and "
test,django__django-11592,"Start passing FileResponse.block_size to wsgi.file_wrapper.
Description
	 
		(last modified by Chris"
test,django__django-11603,"Add DISTINCT support for Avg and Sum aggregates.
Description
	
As an extension of #28658, aggregates"
test,django__django-11605,"Filter by window expression should raise a descriptive error.
Description
	
Django has a check that "
test,django__django-11612,"SQLite3 migrations can fail when used quoted db_table.
Description
	 
		(last modified by Maciej Olk"
test,django__django-11618,"Cloaking PermissionErrors raised in ManifestFilesMixin.read_manifest().
Description
	
While using th"
test,django__django-11620,"When DEBUG is True, raising Http404 in a path converter's to_python method does not result in a tech"
test,django__django-11622,"Add a helpful exception for invalid values passed to AutoField/FloatField/IntegerField.
Description
"
test,django__django-11630,"Django throws error when different apps with different models have the same name table name.
Descrip"
test,django__django-11638,"Improve Exception Message In Test Client and urlencode() when None is passed as data.
Description
	 "
test,django__django-11666,"Allowing patch_vary_headers() caching utility to handle '*' value.
Description
	
Function ""patch_var"
test,django__django-11669,"Stop TemplateView automatically passing kwargs into the context
Description
	
Only TemplateView push"
test,django__django-11677,"Nested OuterRef not looking on the right model for the field.
Description
	 
		(last modified by Aar"
test,django__django-11680,"Remove UPDATE query when saving a new model instance with a primary key that has a default
Descripti"
test,django__django-11688,"path converters don't handle spaces well.
Description
	
This came up for someone on IRC last week, b"
test,django__django-11692,"Can't use OuterRef in union Subquery
Description
	
When you make a QuerySet using the union method o"
test,django__django-11695,"Rate-limit autocomplete widgets Ajax requests
Description
	 
		(last modified by Federico Jaramillo "
test,django__django-11701,"Admin search with a null character crashes with ""A string literal cannot contain NUL (0x00) characte"
test,django__django-11707,"Pickling a QuerySet evaluates the querysets given to Subquery in annotate.
Description
	
I wrote a t"
test,django__django-11727,"Allow hiding the ""Save and Add Another"" button with a `show_save_and_add_another` context variable
D"
test,django__django-11728,"simplify_regexp() doesn't replace trailing groups.
Description
	
replace_named_groups() fails to rep"
test,django__django-11734,"OuterRef in exclude() or ~Q() uses wrong model.
Description
	
The following test (added to tests/que"
test,django__django-11740,"Change uuid field to FK does not create dependency
Description
	 
		(last modified by Simon Charette"
test,django__django-11742,"Add check to ensure max_length fits longest choice.
Description
	
There is currently no check to ens"
test,django__django-11749,"call_command fails when argument of required mutually exclusive group is passed in kwargs.
Descripti"
test,django__django-11751,"Make security headers default.
Description
	 
		(last modified by Adam Johnson)
	 
Following my secu"
test,django__django-11754,"Allow using ExceptionReporter subclass in django.views.debug.technical_500_response
Description
	 
	"
test,django__django-11772,"Template Cache ""make_template_fragment_key"" function speed up + simplify (also discussing switch to "
test,django__django-11790,"AuthenticationForm's username field doesn't set maxlength HTML attribute.
Description
	
Authenticati"
test,django__django-11797,"Filtering on query result overrides GROUP BY of internal query
Description
	
from django.contrib.aut"
test,django__django-11808,"__eq__ should return NotImplemented when equality cannot be checked.
Description
	 
		(last modified"
test,django__django-11810,"Chaining select_related mutates original QuerySet.
Description
	 
		(last modified by Darren Maki)
	"
test,django__django-11815,"Migrations uses value of enum object instead of its name.
Description
	 
		(last modified by oasl)
	"
test,django__django-11820,"models.E015 is raised when Meta.ordering contains ""pk"" of a related field.
Description
	
models.E015"
test,django__django-11823,"cache_control() ""max_age"" overrides cache_page() ""timeout""
Description
	
If you decorate a view with"
test,django__django-11829,"patch_cache_control should special case ""no-cache""
Description
	 
		(last modified by Tim Graham)
	 "
test,django__django-11848,"django.utils.http.parse_http_date two digit year check is incorrect
Description
	 
		(last modified "
test,django__django-11880,"Form Field’s __deepcopy__ does not (deep)copy the error messages.
Description
	
The __deepcopy__ met"
test,django__django-11883,"Make cache.delete() return whether or not it suceeded.
Description
	
It can be quite useful when dea"
test,django__django-11885,"Combine fast delete queries
Description
	
When emulating ON DELETE CASCADE via on_delete=models.CASC"
test,django__django-11891,"ConditionalGetMiddleware returns 304 if ETag is the same but Last-Modified has changed.
Description
"
test,django__django-11893,"DateTimeField doesn't accept ISO 8601 formatted date string
Description
	
DateTimeField doesn't acce"
test,django__django-11894,"Explicitly SameSite: None cookies.
Description
	
When setting cookies (with .set_cookie and set_sign"
test,django__django-11903,"ManagementUtility.fetch_command prints ""No Django settings specified."" even if they are.
Description"
test,django__django-11905,"Prevent using __isnull lookup with non-boolean value.
Description
	 
		(last modified by Mariusz Fel"
test,django__django-11910,"ForeignKey's to_field parameter gets the old field's name when renaming a PrimaryKey.
Description
	
"
test,django__django-11911,"""migrate --plan"" outputs ""IRREVERSIBLE"" on RunPython operations without docstrings.
Description
	
Gi"
test,django__django-11916,"Make prefetch_related faster by lazily creating related querysets
Description
	
In one project of mi"
test,django__django-11951,"bulk_create batch_size param overrides the compatible batch size calculation
Description
	 
		(last "
test,django__django-11964,"The value of a TextChoices/IntegerChoices field has a differing type
Description
	
If we create an i"
test,django__django-11983,"Admin's date_hierarchy excludes 31 october when using timezone with DST in northern hemisphere.
Desc"
test,django__django-11991,"Add support for adding non-key columns to indexes
Description
	 
		(last modified by Hannes Ljungber"
test,django__django-11997,"The floatformat filter sometimes returns ""-0"" instead of ""0"".
Description
	
For values between 0 and"
test,django__django-11999,"Cannot override get_FOO_display() in Django 2.2+.
Description
	
I cannot override the get_FIELD_disp"
test,django__django-12009,"Django installs /usr/bin/django-admin and /usr/bin/django-admin.py
Description
	
Django (since 1.7) "
test,django__django-12039,"Use proper whitespace in CREATE INDEX statements
Description
	 
		(last modified by Hannes Ljungberg"
test,django__django-12049,"Applied migration detection may fail when using a case-insensitive collation
Description
	 
		(last "
test,django__django-12050,"Query.resolve_lookup_value coerces value of type list to tuple
Description
	
Changes introduced in #"
test,django__django-12062,"Allow disabling of all migrations during tests
Description
	
As an extension to #24919 a setting DAT"
test,django__django-12073,"Deprecate the barely documented InvalidQuery exception.
Description
	
The django.db.models.query.Inv"
test,django__django-12091,"Deprecate HttpRequest.is_ajax.
Description
	 
		(last modified by Mariusz Felisiak)
	 
As discussed "
test,django__django-12113,"admin_views.test_multidb fails with persistent test SQLite database.
Description
	 
		(last modified"
